epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,35.9305,1.58196,0.79402,1.21383,0.94854,0.88823,0.94831,0.34742,2.2357,1.07474,1.2612,0.0017228,0.0017228,0.0017228
30,37.0592,1.555,0.76654,1.20556,0.94655,0.88711,0.93583,0.32477,2.23465,1.07051,1.27335,0.0017129,0.0017129,0.0017129
31,38.3864,1.57152,0.77947,1.2069,0.84791,0.84217,0.84973,0.26661,2.41023,1.14422,1.37821,0.001703,0.001703,0.001703
32,39.5659,1.54678,0.7845,1.19592,0.95649,0.92474,0.96161,0.34981,2.19062,0.95623,1.26215,0.0016931,0.0016931,0.0016931
33,40.692,1.53767,0.7571,1.1855,0.95381,0.92312,0.95965,0.33646,2.25945,0.96086,1.27756,0.0016832,0.0016832,0.0016832
34,41.8308,1.4921,0.79009,1.17011,0.9235,0.90202,0.92902,0.27694,2.49093,1.04964,1.3993,0.0016733,0.0016733,0.0016733
35,42.9733,1.49856,0.72675,1.16279,0.95499,0.90751,0.96896,0.49929,1.67657,0.87453,1.08538,0.0016634,0.0016634,0.0016634
36,44.1094,1.50103,0.75386,1.16773,0.86805,0.86925,0.92134,0.4485,1.72622,0.92165,1.12098,0.0016535,0.0016535,0.0016535
37,45.2309,1.4894,0.75284,1.1673,0.78285,0.81159,0.85637,0.43988,1.72103,0.94521,1.11548,0.0016436,0.0016436,0.0016436
38,46.3605,1.51928,0.73516,1.18124,0.96638,0.55242,0.82104,0.34507,2.01544,inf,1.19817,0.0016337,0.0016337,0.0016337
39,47.4688,1.52128,0.74345,1.18685,0.93391,0.83027,0.92441,0.32425,2.25023,1.22423,1.27548,0.0016238,0.0016238,0.0016238
40,48.6372,1.50669,0.72439,1.18909,0.9614,0.89903,0.95159,0.30963,2.30491,1.05613,1.28405,0.0016139,0.0016139,0.0016139
41,49.9036,1.45114,0.71575,1.15031,0.93954,0.8961,0.92893,0.25981,2.50973,1.10677,1.38727,0.001604,0.001604,0.001604
42,51.0559,1.45992,0.72139,1.15992,0.96578,0.92934,0.98146,0.43934,1.93072,0.96078,1.14489,0.0015941,0.0015941,0.0015941
43,52.2241,1.4811,0.71794,1.16398,0.94545,0.94785,0.9809,0.45211,1.87032,0.87094,1.16293,0.0015842,0.0015842,0.0015842
